,Date,PM,Latitude,Longitude,Dataset,Site Location #
82,4/21/17,7,36.78538,-119.77321,Monitoring Stations,1
83,4/22/17,9,36.78538,-119.77321,Monitoring Stations,1
84,4/23/17,3.7,36.78538,-119.77321,Monitoring Stations,1
85,4/24/17,3.6,36.78538,-119.77321,Monitoring Stations,1
86,4/25/17,3.7,36.78538,-119.77321,Monitoring Stations,1
87,4/26/17,3.3,36.78538,-119.77321,Monitoring Stations,1
88,4/27/17,4.1,36.78538,-119.77321,Monitoring Stations,1
89,4/28/17,5.7,36.78538,-119.77321,Monitoring Stations,1
90,4/29/17,8.1,36.78538,-119.77321,Monitoring Stations,1
91,4/30/17,7.9,36.78538,-119.77321,Monitoring Stations,1
92,5/1/17,9.3,36.78538,-119.77321,Monitoring Stations,1
93,5/2/17,11.6,36.78538,-119.77321,Monitoring Stations,1
94,5/3/17,12.5,36.78538,-119.77321,Monitoring Stations,1
95,5/4/17,11,36.78538,-119.77321,Monitoring Stations,1
96,5/5/17,5.8,36.78538,-119.77321,Monitoring Stations,1
97,5/6/17,7.1,36.78538,-119.77321,Monitoring Stations,1
98,5/7/17,6.5,36.78538,-119.77321,Monitoring Stations,1
99,5/8/17,11.7,36.78538,-119.77321,Monitoring Stations,1
100,5/9/17,13.3,36.78538,-119.77321,Monitoring Stations,1
101,5/10/17,10.2,36.78538,-119.77321,Monitoring Stations,1
102,5/11/17,7,36.78538,-119.77321,Monitoring Stations,1
103,5/12/17,4.1,36.78538,-119.77321,Monitoring Stations,1
104,5/13/17,3.6,36.78538,-119.77321,Monitoring Stations,1
105,5/14/17,4.1,36.78538,-119.77321,Monitoring Stations,1
106,5/15/17,6,36.78538,-119.77321,Monitoring Stations,1
107,5/16/17,5.4,36.78538,-119.77321,Monitoring Stations,1
108,5/17/17,2.7,36.78538,-119.77321,Monitoring Stations,1
109,5/18/17,6.3,36.78538,-119.77321,Monitoring Stations,1
110,5/19/17,8,36.78538,-119.77321,Monitoring Stations,1
111,5/20/17,8.9,36.78538,-119.77321,Monitoring Stations,1
112,5/21/17,8.9,36.78538,-119.77321,Monitoring Stations,1
113,5/22/17,8.1,36.78538,-119.77321,Monitoring Stations,1
114,5/23/17,12.3,36.78538,-119.77321,Monitoring Stations,1
115,5/24/17,11.4,36.78538,-119.77321,Monitoring Stations,1
116,5/25/17,5.8,36.78538,-119.77321,Monitoring Stations,1
117,5/26/17,7.4,36.78538,-119.77321,Monitoring Stations,1
118,5/27/17,7.3,36.78538,-119.77321,Monitoring Stations,1
119,5/28/17,8.1,36.78538,-119.77321,Monitoring Stations,1
120,5/29/17,8.6,36.78538,-119.77321,Monitoring Stations,1
121,5/31/17,4,36.78538,-119.77321,Monitoring Stations,1
122,6/1/17,3.1,36.78538,-119.77321,Monitoring Stations,1
123,6/2/17,5.7,36.78538,-119.77321,Monitoring Stations,1
124,6/3/17,7.8,36.78538,-119.77321,Monitoring Stations,1
125,6/4/17,5,36.78538,-119.77321,Monitoring Stations,1
126,6/5/17,6,36.78538,-119.77321,Monitoring Stations,1
127,6/6/17,7.6,36.78538,-119.77321,Monitoring Stations,1
128,6/7/17,6.7,36.78538,-119.77321,Monitoring Stations,1
129,6/8/17,3.4,36.78538,-119.77321,Monitoring Stations,1
130,6/9/17,4.4,36.78538,-119.77321,Monitoring Stations,1
131,6/10/17,4.4,36.78538,-119.77321,Monitoring Stations,1
132,6/11/17,3.4,36.78538,-119.77321,Monitoring Stations,1
133,6/12/17,4.4,36.78538,-119.77321,Monitoring Stations,1
134,6/13/17,6.7,36.78538,-119.77321,Monitoring Stations,1
135,6/14/17,8.3,36.78538,-119.77321,Monitoring Stations,1
